0.005,98.3
0.01,76.4
0.015,72.9
0.02,69.3
0.025,69.9
0.03,69.4
0.035,70.1
0.04,69.9
0.045,71.1
0.05,72.4
0.055,71.4
0.06,74.6
0.065,69.6
0.07,69.2
0.075,69.8
0.08,70.3
0.085,71.4
0.09,70.0
0.095,69.6
0.1,69.6
0.105,69.8
0.11,69.9
0.115,69.6
0.12,69.5
0.125,69.5
0.13,69.5
0.135,69.9
0.14,71.7
0.145,69.9
0.15,69.6
0.155,69.9
0.16,69.6
0.165,69.7
0.17,69.6
0.175,69.3
0.18,74.4
0.185,72.6
0.19,69.6
0.195,70.3
0.2,76.4
0.205,71.7
0.21,70.6
0.215,70.1
0.22,70.2
0.225,70.5
0.23,70.5
0.235,69.8
0.24,70.8
0.245,70.7
0.25,70.2
